t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
1.128,-0.083885,-1.7833,1.3458,-1.3372,-1.9345,1.4823,-0.41065848,-0.83745856,1.05360015,-1.84349325,0.82632707,-0.38628682
1.136,-0.08657,-1.7887,1.3526,-1.349,-1.9291,1.4799,-0.34729436,-0.70717955,0.89434145,-1.55840307,0.6975958,-0.32411089
1.144,-0.089516,-1.7941,1.3594,-1.3609,-1.9232,1.4771,-0.33795514,-0.65818335,0.83242208,-1.44572064,0.67665299,-0.31216043
1.152,-0.093392,-1.8004,1.3673,-1.3746,-1.9155,1.4736,-0.41271849,-0.7177037,0.89702418,-1.5605279,0.82338278,-0.37822161
1.16,-0.098543,-1.808,1.3765,-1.3907,-1.9053,1.4689,-0.56572809,-0.87616697,1.07657541,-1.8818327,1.12588469,-0.51666472
1.168,-0.1048,-1.8163,1.3864,-1.4081,-1.8929,1.4633,-0.71760102,-1.00380191,1.21421168,-2.12508521,1.42284713,-0.65117854
1.176,-0.11196,-1.8248,1.3964,-1.4255,-1.8788,1.4569,-0.84327278,-1.05963433,1.26040447,-2.20044118,1.66333731,-0.75766845
1.184,-0.11959,-1.8329,1.4058,-1.4417,-1.8639,1.4501,-0.93811469,-1.04466053,1.21756109,-2.11292536,1.83885286,-0.83255677
1.192,-0.12697,-1.8401,1.414,-1.4559,-1.8495,1.4437,-0.95337665,-0.96937395,1.11103595,-1.91545956,1.85984535,-0.83816265
1.2,-0.13338,-1.8461,1.4208,-1.4674,-1.8371,1.4381,-0.87601626,-0.83658193,0.94761226,-1.62220226,1.70235734,-0.7644051
1.208,-0.13881,-1.8509,1.4262,-1.4765,-1.8266,1.4334,-0.72433327,-0.66046726,0.74253251,-1.25896464,1.40179168,-0.62710422
1.216,-0.14412,-1.8553,1.4311,-1.4846,-1.8164,1.4289,-0.65205414,-0.5601719,0.62384083,-1.04257275,1.25554894,-0.55915614
1.224,-0.1502,-1.8602,1.4364,-1.4933,-1.8048,1.4237,-0.69385027,-0.56256708,0.62041622,-1.02192941,1.33070469,-0.5905342
1.232,-0.15764,-1.8658,1.4424,-1.5031,-1.7906,1.4174,-0.84009235,-0.65368757,0.71526882,-1.16628007,1.60765158,-0.71262684
1.24,-0.16667,-1.8719,1.449,-1.5133,-1.7734,1.4098,-1.0249953,-0.73812639,0.79232818,-1.26551716,1.95243699,-0.86660191
1.248,-0.17746,-1.8784,1.4556,-1.5233,-1.7531,1.4007,-1.2361421,-0.79787535,0.82968582,-1.27998259,2.3397772,-1.04135477
1.256,-0.1894,-1.885,1.462,-1.5325,-1.7307,1.3907,-1.44716337,-0.82644433,0.82418661,-1.21043801,2.72141438,-1.21519557
1.264,-0.20115,-1.8908,1.4676,-1.5401,-1.7087,1.3808,-1.50939446,-0.78724354,0.75804258,-1.06117723,2.82528172,-1.26584173
1.272,-0.2114,-1.8956,1.4719,-1.5456,-1.6897,1.3722,-1.39958447,-0.6745504,0.62847171,-0.83287181,2.60882846,-1.17416844
1.28,-0.22001,-1.8992,1.4751,-1.5493,-1.6737,1.365,-1.16247091,-0.51150071,0.45784674,-0.55671477,2.15585149,-0.97710014
1.288,-0.22783,-1.9023,1.4777,-1.552,-1.6593,1.3584,-1.00849394,-0.40692263,0.35140649,-0.37943452,1.86052194,-0.84832504
1.296,-0.23573,-1.9054,1.4804,-1.5547,-1.6448,1.3518,-0.96456478,-0.37473319,0.32260898,-0.31979478,1.77324666,-0.81005452
1.304,-0.24446,-1.9086,1.4833,-1.5572,-1.6288,1.3444,-1.02543859,-0.39898997,0.35048296,-0.33827024,1.88222696,-0.86020738
1.312,-0.25467,-1.912,1.486,-1.5589,-1.6102,1.3357,-1.17036257,-0.41661224,0.35204976,-0.27846787,2.1407779,-0.99054869
1.32,-0.26694,-1.9153,1.4883,-1.559,-1.5879,1.3251,-1.39720471,-0.42111946,0.31878464,-0.12432074,2.54410333,-1.20023247
1.328,-0.28082,-1.9185,1.4901,-1.5575,-1.5628,1.3129,-1.65723443,-0.41027572,0.25738506,0.09511173,3.00498887,-1.44515699
1.336,-0.29516,-1.9213,1.4913,-1.5546,-1.5369,1.3002,-1.78731655,-0.37659594,0.19027215,0.28254744,3.23146714,-1.57768305
1.344,-0.30883,-1.9236,1.492,-1.5507,-1.5123,1.2879,-1.77430149,-0.31947676,0.11925317,0.4301449,3.20000398,-1.58591014
1.352,-0.32067,-1.9251,1.492,-1.5461,-1.491,1.277,-1.61818926,-0.2389182,0.04432812,0.53790413,2.91059941,-1.46983825
1.36,-0.32955,-1.9256,1.4914,-1.5411,-1.4751,1.2686,-1.31897984,-0.13492025,-0.034503,0.60582512,2.36325341,-1.22946738
